epoch,total loss,F1,accuracy
0,0.91159,0.55851,0.63067
1,0.65616,0.64425,0.65689
2,0.59212,0.66981,0.68489
3,0.5422,0.69543,0.70311
4,0.49882,0.65957,0.69022
5,0.45809,0.70022,0.69867
6,0.42431,0.68711,0.69378
7,0.36311,0.68485,0.69067
8,0.32313,0.69867,0.70267
9,0.27181,0.67721,0.67822
10,0.22811,0.68941,0.7
11,0.18748,0.68334,0.68889
12,0.15199,0.69903,0.7
13,0.12062,0.70106,0.704
14,0.10192,0.69341,0.69689
15,0.08436,0.68696,0.68533
16,0.06892,0.68675,0.68489
17,0.05795,0.68571,0.684
18,0.04946,0.6915,0.69378
19,0.04335,0.69131,0.69244
